Business_ID,Business_Name,Category,Area,Rating,Reviews,Price_Range,Delivery_Time_Minutes,Monthly_Online_Orders,Date_Added,Monthly_Customers,Avg_Order_Value,Monthly_Sales,Delivery_Rating,Is_Active,Staff_Count
BIZ1000,Kalyani Bakery,Grocery,Camp,2.6,227,High,47,,13-03-2023,6303,743,0,4.6,Yes,11
BIZ1001,GlowUp Auto Repair,Restaurant,Kharadi,3.4,563,High,,1190,04-09-2023,3223,475,565250,,No,11
BIZ1002,Kalyani Grocery,Bakery,Swargate,4,704,Low,,,09-10-2023,6959,717,0,,No,20
BIZ1003,SpiceHub Electronics,Grocery,Yerwada,3.9,1407,High,38,1410,20-08-2024,9572,299,421590,4.4,Yes,23
BIZ1004,GlowUp Electronics,Grocery,Shivaji Nagar,3.8,545,Low,,1308,19-06-2023,9468,733,958764,,No,3
BIZ1005,SpiceHub Restaurant,Auto Repair,Deccan,4.2,853,Medium,,,31-10-2024,2833,657,0,,Yes,21
BIZ1006,FreshMart Cafe,Bakery,Sinhagad Road,4.5,566,Medium,,,29-11-2023,7208,546,0,,No,17
BIZ1007,Tandoor Trails Auto Repair,Electronics,Baner,4.8,241,High,,,16-09-2023,921,775,0,,Yes,12
BIZ1008,Tandoor Trails Bakery,Restaurant,Pashan,3.6,1285,High,,,28-02-2023,6793,584,0,,No,23
BIZ1009,Durga Electronics,Clothing,Wakad,3,568,High,57,,04-12-2023,6338,434,0,4.9,No,9
BIZ1010,SpiceHub Salon,Electronics,Baner,3.7,1432,High,,,20-09-2024,2986,273,0,,No,4
BIZ1011,SmartBuy Auto Repair,Cafe,Karve Nagar,3.6,684,High,56,,03-01-2024,7401,616,0,4.1,Yes,7
BIZ1012,ChaiVilla Bakery,Cafe,Yerwada,2.9,149,Medium,49,1135,24-02-2024,4519,691,784285,4.2,No,17
BIZ1013,GlowUp Salon,Salon,Karve Nagar,3.1,877,Medium,40,,15-12-2024,7524,757,0,2.9,Yes,2
BIZ1014,Tandoor Trails Salon,Grocery,Nigdi,4.8,985,Low,,,31-08-2024,5254,293,0,,Yes,9
BIZ1015,FixIt Grocery,Bakery,Karve Nagar,2.9,272,Low,,575,24-10-2024,4939,414,238050,,Yes,24
BIZ1016,SpiceHub Auto Repair,Grocery,Pashan,2.9,795,High,,513,18-10-2024,2915,660,338580,,Yes,20
BIZ1017,ChaiVilla Grocery,Electronics,Yerwada,4.7,1362,Medium,,,03-07-2024,9834,481,0,,No,17
BIZ1018,ChaiVilla Salon,Auto Repair,Kharadi,3.6,275,Low,49,1832,16-04-2023,2034,545,998440,4.7,Yes,22
BIZ1019,Durga Bakery,Cafe,Pashan,3.1,728,Low,45,,11-01-2024,7983,676,0,4,No,8
BIZ1020,FreshMart Restaurant,Grocery,Nigdi,3.4,952,Low,38,972,07-01-2024,1100,638,620136,3.4,No,10
